Category: All categories

Country,AI: (5/7/20 - 5/7/25)
Vietnam,100
Eritrea,
China,84
Solomon Islands,
Tuvalu,
North Korea,
Papua New Guinea,
Vanuatu,
American Samoa,
Micronesia,
Romania,61
Samoa,
Myanmar (Burma),59
Ethiopia,58
Kiribati,
Italy,53
Bhutan,
Philippines,53
Botswana,
Tonga,
Timor-Leste,
Sri Lanka,47
South Korea,46
Rwanda,
Malawi,
Nepal,44
Pakistan,43
Zimbabwe,
Brunei,
Eswatini,
San Marino,
Maldives,
Singapore,40
Cook Islands,
Fiji,
Cambodia,38
Anguilla,
Bangladesh,37
Dominica,
Madagascar,
Malaysia,36
Indonesia,36
Lesotho,
Hong Kong,35
Belize,
Burundi,
Macao,
Kenya,34
Palau,
Guyana,
United Arab Emirates,32
Tanzania,
Moldova,
Mauritius,
Namibia,
Northern Mariana Islands,
Somalia,
St. Helena,
South Sudan,
Morocco,30
Sierra Leone,
Jamaica,
St. Vincent & Grenadines,
Mongolia,
Ghana,28
Liberia,
St. Lucia,
Taiwan,28
Bahrain,
Marshall Islands,
India,27
Seychelles,
Tunisia,27
Lebanon,
Laos,
Trinidad & Tobago,
Nigeria,26
Uganda,
Togo,
Benin,
Canada,26
Malta,
Qatar,
Cayman Islands,
Grenada,
Djibouti,
Australia,24
St. Kitts & Nevis,
Cameroon,
Albania,
New Zealand,23
Israel,22
Gibraltar,
Comoros,
Algeria,22
South Africa,22
Luxembourg,
Oman,
Gabon,
United States,21
Estonia,
Turks & Caicos Islands,
Bolivia,21
Iceland,
Western Sahara,
Kosovo,
Guam,
Zambia,
Cyprus,
Côte d’Ivoire,
Sint Maarten,
Switzerland,20
Japan,20
Faroe Islands,
Barbados,
Portugal,20
Congo - Brazzaville,
U.S. Virgin Islands,
Puerto Rico,
Ireland,19
Sweden,19
St. Martin,
Suriname,
Latvia,
British Virgin Islands,
Thailand,19
United Kingdom,19
Antigua & Barbuda,
Senegal,
Guadeloupe,
French Polynesia,
Lithuania,18
Norway,18
Egypt,18
Belgium,18
Denmark,18
Martinique,
Angola,
North Macedonia,
Panama,
Bahamas,
Svalbard & Jan Mayen,
Burkina Faso,
Réunion,
Netherlands,17
São Tomé & Príncipe,
El Salvador,
Brazil,17
Jordan,
Mozambique,
France,17
Costa Rica,
Haiti,
St. Barthélemy,
Jersey,
Montserrat,
Kuwait,
Georgia,
Ecuador,16
Åland Islands,
French Guiana,
Palestine,
Nicaragua,
Czechia,16
Afghanistan,
Liechtenstein,
New Caledonia,
Finland,16
Peru,15
Curaçao,
Guernsey,
Gambia,
Slovenia,
Isle of Man,
St. Pierre & Miquelon,
Cape Verde,
Mayotte,
Honduras,
Chile,14
Aruba,
Paraguay,
Azerbaijan,
Caribbean Netherlands,
Hungary,14
Uzbekistan,
Congo - Kinshasa,
Bermuda,
Greece,14
Armenia,
Equatorial Guinea,
Bulgaria,13
Greenland,
Serbia,13
Croatia,13
Uruguay,
Iraq,13
Andorra,
Niger,
Montenegro,
Austria,13
Slovakia,13
Mauritania,
Bosnia & Herzegovina,
Chad,
Poland,12
Guatemala,
Mexico,12
Venezuela,12
Germany,12
Libya,
Saudi Arabia,12
Falkland Islands (Islas Malvinas),
Cuba,
Dominican Republic,
Colombia,11
Kazakhstan,11
Argentina,11
Yemen,
Mali,
Spain,10
Guinea,
Central African Republic,
Kyrgyzstan,
Syria,
Russia,8
Ukraine,8
Guinea-Bissau,
Belarus,
Türkiye,7
Turkmenistan,
Iran,6
Tajikistan,
Sudan,
Niue,
U.S. Outlying Islands,
Antarctica,
Vatican City,
Monaco,
French Southern Territories,
British Indian Ocean Territory,
South Georgia & South Sandwich Islands,
Bouvet Island,
Christmas Island,
Wallis & Futuna,
Tokelau,
Nauru,
Cocos (Keeling) Islands,
Pitcairn Islands,
Heard & McDonald Islands,
Norfolk Island,
