Category: All categories

Country,Chat GPT: (5/7/20 - 5/7/25)
Madagascar,
Bhutan,
Solomon Islands,
Tuvalu,
Fiji,
Vanuatu,
Pakistan,100
Cook Islands,
Nepal,93
Peru,92
Bolivia,90
Moldova,89
Malawi,
Mauritius,
French Polynesia,
Ecuador,86
Tunisia,83
Rwanda,
South Korea,83
Kiribati,
Morocco,81
Slovenia,79
Sri Lanka,78
Philippines,77
Kenya,77
United Arab Emirates,75
Myanmar (Burma),73
Israel,73
Timor-Leste,
Malta,
Cape Verde,
Benin,
Colombia,66
Lebanon,66
Botswana,
St. Barthélemy,
Andorra,
Croatia,63
Romania,63
Mozambique,
Latvia,63
Djibouti,
New Caledonia,
Uruguay,61
Spain,60
Portugal,60
Namibia,
Vietnam,59
Tonga,
Qatar,59
Chile,58
Jordan,58
Oman,58
Réunion,
Belize,
Bosnia & Herzegovina,56
France,56
Ethiopia,
Papua New Guinea,
Togo,
Lithuania,55
Senegal,
Costa Rica,55
Maldives,
Algeria,53
New Zealand,53
Seychelles,
Serbia,52
Luxembourg,
Australia,52
Albania,
Western Sahara,
Montenegro,
Samoa,
Liechtenstein,
Greece,50
El Salvador,50
Belgium,50
Panama,49
Angola,
Canada,49
Gibraltar,
Switzerland,48
Mayotte,
French Guiana,
Kosovo,
Cyprus,
Brazil,46
São Tomé & Príncipe,
San Marino,
Bulgaria,45
Czechia,45
North Macedonia,
Paraguay,44
Haiti,
Micronesia,
Guadeloupe,
Indonesia,43
Honduras,
Northern Mariana Islands,
Jamaica,
Côte d’Ivoire,
Puerto Rico,
Comoros,
Malaysia,41
Trinidad & Tobago,
Grenada,
Svalbard & Jan Mayen,
Nicaragua,
Guyana,
Burkina Faso,
Ireland,39
Thailand,39
Lesotho,
Congo - Brazzaville,
Argentina,38
Slovakia,38
Burundi,
Palestine,
Guatemala,38
Martinique,
Bahrain,
Uganda,
Palau,
St. Martin,
St. Lucia,
Austria,37
Poland,36
Brunei,
St. Pierre & Miquelon,
American Samoa,
India,35
Tanzania,
Sierra Leone,
South Africa,35
Eritrea,
Ghana,
Dominica,
Cayman Islands,
Caribbean Netherlands,
Estonia,
Armenia,
Finland,33
Singapore,33
Mexico,33
Antigua & Barbuda,
St. Vincent & Grenadines,
Sint Maarten,
Italy,32
Dominican Republic,31
Gabon,
Germany,30
St. Kitts & Nevis,
Curaçao,
Zambia,
Egypt,29
Bangladesh,27
Mauritania,
Norway,26
Mongolia,
China,
Cambodia,
Aruba,
British Virgin Islands,
Turks & Caicos Islands,
Marshall Islands,
Jersey,
Iceland,
Suriname,
Kuwait,
Netherlands,24
United Kingdom,24
Mali,
Azerbaijan,
United States,24
St. Helena,
U.S. Virgin Islands,
Denmark,23
Isle of Man,
Sweden,23
Uzbekistan,
Guinea,
Guernsey,
Laos,
Guam,
Afghanistan,
Barbados,
Niger,
Kazakhstan,21
Anguilla,
Bahamas,
Hungary,20
Liberia,
Kyrgyzstan,
Montserrat,
Falkland Islands (Islas Malvinas),
Åland Islands,
Bermuda,
Faroe Islands,
Georgia,
Zimbabwe,
Ukraine,18
Saudi Arabia,18
Nigeria,18
Equatorial Guinea,
Gambia,
Somalia,
Eswatini,
Iraq,16
Taiwan,15
South Sudan,
Cuba,
Chad,
Cameroon,
Greenland,
Congo - Kinshasa,
Central African Republic,
Türkiye,13
Guinea-Bissau,
Libya,
Yemen,
Venezuela,
Syria,
Hong Kong,
Tajikistan,
Macao,
Russia,7
Turkmenistan,
Belarus,
Sudan,
Japan,4
Iran,4
U.S. Outlying Islands,
South Georgia & South Sandwich Islands,
North Korea,
British Indian Ocean Territory,
Vatican City,
Cocos (Keeling) Islands,
Heard & McDonald Islands,
Pitcairn Islands,
Tokelau,
French Southern Territories,
Antarctica,
Wallis & Futuna,
Monaco,
Nauru,
Christmas Island,
Niue,
Norfolk Island,
Bouvet Island,
