Category: All categories

Week,ai: (Germany)
2020-05-03,5
2020-05-10,5
2020-05-17,5
2020-05-24,5
2020-05-31,5
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,5
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,6
2020-10-18,5
2020-10-25,5
2020-11-01,5
2020-11-08,5
2020-11-15,5
2020-11-22,5
2020-11-29,5
2020-12-06,6
2020-12-13,5
2020-12-20,5
2020-12-27,5
2021-01-03,5
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,5
2021-02-21,5
2021-02-28,6
2021-03-07,6
2021-03-14,6
2021-03-21,6
2021-03-28,6
2021-04-04,6
2021-04-11,6
2021-04-18,5
2021-04-25,6
2021-05-02,5
2021-05-09,5
2021-05-16,6
2021-05-23,5
2021-05-30,6
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,5
2021-07-11,5
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,5
2021-08-15,5
2021-08-22,5
2021-08-29,5
2021-09-05,5
2021-09-12,6
2021-09-19,5
2021-09-26,5
2021-10-03,6
2021-10-10,6
2021-10-17,6
2021-10-24,6
2021-10-31,6
2021-11-07,5
2021-11-14,6
2021-11-21,6
2021-11-28,5
2021-12-05,6
2021-12-12,6
2021-12-19,6
2021-12-26,7
2022-01-02,7
2022-01-09,7
2022-01-16,7
2022-01-23,7
2022-01-30,7
2022-02-06,7
2022-02-13,7
2022-02-20,6
2022-02-27,7
2022-03-06,6
2022-03-13,6
2022-03-20,7
2022-03-27,7
2022-04-03,7
2022-04-10,7
2022-04-17,6
2022-04-24,6
2022-05-01,6
2022-05-08,7
2022-05-15,6
2022-05-22,7
2022-05-29,7
2022-06-05,7
2022-06-12,8
2022-06-19,8
2022-06-26,7
2022-07-03,8
2022-07-10,8
2022-07-17,7
2022-07-24,8
2022-07-31,8
2022-08-07,9
2022-08-14,9
2022-08-21,8
2022-08-28,9
2022-09-04,9
2022-09-11,9
2022-09-18,9
2022-09-25,10
2022-10-02,9
2022-10-09,9
2022-10-16,11
2022-10-23,9
2022-10-30,9
2022-11-06,11
2022-11-13,12
2022-11-20,10
2022-11-27,12
2022-12-04,21
2022-12-11,21
2022-12-18,19
2022-12-25,16
2023-01-01,19
2023-01-08,24
2023-01-15,25
2023-01-22,25
2023-01-29,25
2023-02-05,26
2023-02-12,22
2023-02-19,24
2023-02-26,22
2023-03-05,22
2023-03-12,24
2023-03-19,27
2023-03-26,29
2023-04-02,31
2023-04-09,32
2023-04-16,37
2023-04-23,46
2023-04-30,44
2023-05-07,40
2023-05-14,43
2023-05-21,40
2023-05-28,41
2023-06-04,36
2023-06-11,39
2023-06-18,37
2023-06-25,38
2023-07-02,35
2023-07-09,36
2023-07-16,38
2023-07-23,36
2023-07-30,33
2023-08-06,32
2023-08-13,32
2023-08-20,32
2023-08-27,33
2023-09-03,34
2023-09-10,33
2023-09-17,35
2023-09-24,34
2023-10-01,38
2023-10-08,36
2023-10-15,34
2023-10-22,37
2023-10-29,36
2023-11-05,42
2023-11-12,42
2023-11-19,42
2023-11-26,41
2023-12-03,43
2023-12-10,44
2023-12-17,41
2023-12-24,38
2023-12-31,41
2024-01-07,45
2024-01-14,44
2024-01-21,46
2024-01-28,46
2024-02-04,44
2024-02-11,45
2024-02-18,49
2024-02-25,48
2024-03-03,47
2024-03-10,47
2024-03-17,47
2024-03-24,48
2024-03-31,46
2024-04-07,47
2024-04-14,47
2024-04-21,46
2024-04-28,45
2024-05-05,42
2024-05-12,47
2024-05-19,50
2024-05-26,47
2024-06-02,50
2024-06-09,48
2024-06-16,46
2024-06-23,44
2024-06-30,43
2024-07-07,46
2024-07-14,44
2024-07-21,46
2024-07-28,44
2024-08-04,44
2024-08-11,46
2024-08-18,48
2024-08-25,49
2024-09-01,50
2024-09-08,48
2024-09-15,48
2024-09-22,50
2024-09-29,49
2024-10-06,49
2024-10-13,50
2024-10-20,56
2024-10-27,50
2024-11-03,62
2024-11-10,57
2024-11-17,60
2024-11-24,56
2024-12-01,57
2024-12-08,58
2024-12-15,59
2024-12-22,56
2024-12-29,54
2025-01-05,63
2025-01-12,61
2025-01-19,71
2025-01-26,73
2025-02-02,66
2025-02-09,71
2025-02-16,64
2025-02-23,63
2025-03-02,60
2025-03-09,67
2025-03-16,64
2025-03-23,87
2025-03-30,100
2025-04-06,73
2025-04-13,71
2025-04-20,70
2025-04-27,65
2025-05-04,72
