__typename,dateString,countryCode,countryName,value
HiringLabNationalAI,2019-01-01,DE,Germany,2.03
HiringLabNationalAI,2019-01-01,GB,United Kingdom,2.23
HiringLabNationalAI,2019-01-01,US,United States,1.71
HiringLabNationalAI,2019-01-02,DE,Germany,2.02
HiringLabNationalAI,2019-01-02,GB,United Kingdom,2.23
HiringLabNationalAI,2019-01-02,US,United States,1.71
HiringLabNationalAI,2019-01-03,DE,Germany,2.02
HiringLabNationalAI,2019-01-03,GB,United Kingdom,2.22
HiringLabNationalAI,2019-01-03,US,United States,1.71
HiringLabNationalAI,2019-01-04,DE,Germany,2.03
HiringLabNationalAI,2019-01-04,GB,United Kingdom,2.21
HiringLabNationalAI,2019-01-04,US,United States,1.71
HiringLabNationalAI,2019-01-05,DE,Germany,2.02
HiringLabNationalAI,2019-01-05,GB,United Kingdom,2.19
HiringLabNationalAI,2019-01-05,US,United States,1.71
HiringLabNationalAI,2019-01-06,DE,Germany,2.02
HiringLabNationalAI,2019-01-06,GB,United Kingdom,2.19
HiringLabNationalAI,2019-01-06,US,United States,1.71
HiringLabNationalAI,2019-01-07,DE,Germany,2.02
HiringLabNationalAI,2019-01-07,GB,United Kingdom,2.19
HiringLabNationalAI,2019-01-07,US,United States,1.71
HiringLabNationalAI,2019-01-08,DE,Germany,2.02
HiringLabNationalAI,2019-01-08,GB,United Kingdom,2.18
HiringLabNationalAI,2019-01-08,US,United States,1.72
HiringLabNationalAI,2019-01-09,DE,Germany,2.02
HiringLabNationalAI,2019-01-09,GB,United Kingdom,2.16
HiringLabNationalAI,2019-01-09,US,United States,1.72
HiringLabNationalAI,2019-01-10,DE,Germany,2.02
HiringLabNationalAI,2019-01-10,GB,United Kingdom,2.15
HiringLabNationalAI,2019-01-10,US,United States,1.72
HiringLabNationalAI,2019-01-11,DE,Germany,2.01
HiringLabNationalAI,2019-01-11,GB,United Kingdom,2.13
HiringLabNationalAI,2019-01-11,US,United States,1.72
HiringLabNationalAI,2019-01-12,DE,Germany,2
HiringLabNationalAI,2019-01-12,GB,United Kingdom,2.11
HiringLabNationalAI,2019-01-12,US,United States,1.72
HiringLabNationalAI,2019-01-13,DE,Germany,2
HiringLabNationalAI,2019-01-13,GB,United Kingdom,2.09
HiringLabNationalAI,2019-01-13,US,United States,1.72
HiringLabNationalAI,2019-01-14,DE,Germany,2
HiringLabNationalAI,2019-01-14,GB,United Kingdom,2.07
HiringLabNationalAI,2019-01-14,US,United States,1.71
HiringLabNationalAI,2019-01-15,DE,Germany,1.99
HiringLabNationalAI,2019-01-15,GB,United Kingdom,2.05
HiringLabNationalAI,2019-01-15,US,United States,1.7
HiringLabNationalAI,2019-01-16,DE,Germany,1.98
HiringLabNationalAI,2019-01-16,GB,United Kingdom,2.05
HiringLabNationalAI,2019-01-16,US,United States,1.69
HiringLabNationalAI,2019-01-17,DE,Germany,1.97
HiringLabNationalAI,2019-01-17,GB,United Kingdom,2.04
HiringLabNationalAI,2019-01-17,US,United States,1.68
HiringLabNationalAI,2019-01-18,DE,Germany,1.97
HiringLabNationalAI,2019-01-18,GB,United Kingdom,2.04
HiringLabNationalAI,2019-01-18,US,United States,1.68
HiringLabNationalAI,2019-01-19,DE,Germany,1.97
HiringLabNationalAI,2019-01-19,GB,United Kingdom,2.04
HiringLabNationalAI,2019-01-19,US,United States,1.68
HiringLabNationalAI,2019-01-20,DE,Germany,1.96
HiringLabNationalAI,2019-01-20,GB,United Kingdom,2.04
HiringLabNationalAI,2019-01-20,US,United States,1.68
HiringLabNationalAI,2019-01-21,DE,Germany,1.96
