Category: All categories

Week,ai: (United States)
2020-05-03,5
2020-05-10,5
2020-05-17,5
2020-05-24,5
2020-05-31,4
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,4
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,5
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,5
2020-09-27,4
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,4
2020-11-01,3
2020-11-08,4
2020-11-15,4
2020-11-22,4
2020-11-29,5
2020-12-06,5
2020-12-13,5
2020-12-20,5
2020-12-27,4
2021-01-03,4
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,5
2021-02-21,5
2021-02-28,5
2021-03-07,5
2021-03-14,5
2021-03-21,5
2021-03-28,5
2021-04-04,6
2021-04-11,5
2021-04-18,5
2021-04-25,5
2021-05-02,5
2021-05-09,5
2021-05-16,5
2021-05-23,6
2021-05-30,5
2021-06-06,7
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,4
2021-07-11,5
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,5
2021-08-15,6
2021-08-22,5
2021-08-29,5
2021-09-05,5
2021-09-12,5
2021-09-19,5
2021-09-26,5
2021-10-03,5
2021-10-10,5
2021-10-17,5
2021-10-24,5
2021-10-31,5
2021-11-07,6
2021-11-14,6
2021-11-21,5
2021-11-28,6
2021-12-05,6
2021-12-12,6
2021-12-19,5
2021-12-26,5
2022-01-02,6
2022-01-09,6
2022-01-16,5
2022-01-23,6
2022-01-30,6
2022-02-06,6
2022-02-13,7
2022-02-20,6
2022-02-27,6
2022-03-06,6
2022-03-13,6
2022-03-20,6
2022-03-27,6
2022-04-03,7
2022-04-10,6
2022-04-17,7
2022-04-24,7
2022-05-01,7
2022-05-08,7
2022-05-15,7
2022-05-22,7
2022-05-29,6
2022-06-05,8
2022-06-12,13
2022-06-19,9
2022-06-26,9
2022-07-03,8
2022-07-10,8
2022-07-17,8
2022-07-24,8
2022-07-31,9
2022-08-07,10
2022-08-14,9
2022-08-21,9
2022-08-28,9
2022-09-04,10
2022-09-11,9
2022-09-18,10
2022-09-25,10
2022-10-02,10
2022-10-09,10
2022-10-16,10
2022-10-23,10
2022-10-30,10
2022-11-06,9
2022-11-13,10
2022-11-20,11
2022-11-27,16
2022-12-04,31
2022-12-11,20
2022-12-18,17
2022-12-25,14
2023-01-01,16
2023-01-08,18
2023-01-15,19
2023-01-22,22
2023-01-29,26
2023-02-05,27
2023-02-12,25
2023-02-19,24
2023-02-26,25
2023-03-05,25
2023-03-12,25
2023-03-19,29
2023-03-26,33
2023-04-02,32
2023-04-09,35
2023-04-16,57
2023-04-23,50
2023-04-30,46
2023-05-07,46
2023-05-14,45
2023-05-21,44
2023-05-28,42
2023-06-04,39
2023-06-11,43
2023-06-18,40
2023-06-25,39
2023-07-02,38
2023-07-09,44
2023-07-16,45
2023-07-23,41
2023-07-30,37
2023-08-06,38
2023-08-13,41
2023-08-20,38
2023-08-27,38
2023-09-03,38
2023-09-10,40
2023-09-17,39
2023-09-24,42
2023-10-01,45
2023-10-08,47
2023-10-15,45
2023-10-22,45
2023-10-29,48
2023-11-05,49
2023-11-12,48
2023-11-19,45
2023-11-26,48
2023-12-03,52
2023-12-10,49
2023-12-17,44
2023-12-24,38
2023-12-31,42
2024-01-07,46
2024-01-14,46
2024-01-21,58
2024-01-28,54
2024-02-04,49
2024-02-11,55
2024-02-18,57
2024-02-25,57
2024-03-03,55
2024-03-10,51
2024-03-17,56
2024-03-24,52
2024-03-31,48
2024-04-07,51
2024-04-14,57
2024-04-21,59
2024-04-28,55
2024-05-05,56
2024-05-12,61
2024-05-19,60
2024-05-26,61
2024-06-02,60
2024-06-09,60
2024-06-16,54
2024-06-23,52
2024-06-30,51
2024-07-07,51
2024-07-14,49
2024-07-21,52
2024-07-28,49
2024-08-04,53
2024-08-11,57
2024-08-18,60
2024-08-25,60
2024-09-01,59
2024-09-08,67
2024-09-15,66
2024-09-22,71
2024-09-29,70
2024-10-06,69
2024-10-13,73
2024-10-20,75
2024-10-27,76
2024-11-03,71
2024-11-10,78
2024-11-17,81
2024-11-24,70
2024-12-01,82
2024-12-08,88
2024-12-15,77
2024-12-22,60
2024-12-29,62
2025-01-05,74
2025-01-12,76
2025-01-19,87
2025-01-26,94
2025-02-02,88
2025-02-09,92
2025-02-16,90
2025-02-23,100
2025-03-02,98
2025-03-09,93
2025-03-16,88
2025-03-23,92
2025-03-30,98
2025-04-06,96
2025-04-13,88
2025-04-20,94
2025-04-27,99
2025-05-04,96
